"","Artist","Song","Lyrics","Label"
"591","The Impressions","Choice Of Colors","If you had a choice of color Which one would you choose my brothers If there was no day or night Which would you prefer to be right  How long have you hated your white teacher Who told you, you love your black preacher Do you respect your brother's woman friend And share with black folks not of kin  People must prove to the people A better day is coming for you and for me With just a little bit more education And love for our nation Would make a better society  Now some of us would rather cuss and make a fuss Than to bring about a little trust But we shall overcome our beliefs someday If you'll only listen to what I have to say  And how long have you hated your white teacher Who told you, you love your black preacher Can you respect your brother's woman friend And share with black folks not of kin  I said now people must prove to the people A better day is coming for you and for me With just a little bit more education And love for our nation  Would make a better society And if you had a choice of colors Which one would you choose my brothers If there was no day or night  Which would you prefer to be right And If you had a choice of colors Which one would you choose my brothers If there was no day or night Which would you prefer to be right",3
"592","The Impressions","Talking About My Baby","I want to talk about my baby, yeah yeah With her pretty smile, yeah yeah She's 'bout to drive me crazy, yeah yeah Makes my heart beat wild So everybody say, yeah, yeah yeah Everybody say, yeah, yeah yeah Everybody say, yeah, yeah yeah Yeah yeah, yeah yeah I want to talk about my baby, yeah yeah She does the walk real nice, yeah yeah There's no questions about maybe For her I'd make any sacrifice So everybody say, yeah, yeah yeah Everybody say, yeah, yeah yeah Everybody say, yeah, yeah yeah Yeah yeah, yeah yeah And when she walks that walk I can't help but feel that she's for real And when she talks that talk I can't quite explain just how I feel Talking about my baby I want to talk about my baby, yeah yeah To me she's everything, yeah yeah She might fuss and called you lazy But to her I'm still the king So everybody say, yeah, yeah yeah Everybody say, yeah, yeah yeah Everybody say, yeah, yeah yeah Yeah yeah, yeah yeah ",3
"593","The Impressions","People Get Ready","People get ready, there's a train a comin'  You don't need no baggage, you just get on board  All you need is faith, to hear the diesels hummin' Don't need no ticket, you just thank the Lord   So people get ready, for the train to Jordan  Picking up passengers coast to coast  Faith is the key, open the doors and board 'em  There's hope for all, among those loved the most   There ain't no room for the hopeless sinner  Whom would hurt all mankind, just to save his own, believe me now Have pity on those whose chances grow thinner  For there is no hiding place, against the kingdom's throne   So people get ready there's a train a comin'  You don't need no baggage, you just get on board  All you need is faith, to hear the diesels hummin'  Don't need no ticket, you just thank the Lord",3
"594","The Impressions","Fool For You","Fool For You The Impressions  Never liked nobody That's been mean to me I've got a heart full of stone And I hate the misery  Then you came along Into my life Destroying my mind Mounting up the toil and strife  But I'm a fool for you I'm a fool for you But I'm a fool for you I'm a fool for you  Guess I'll always be And I claim it famously 'Cause I'm a fool for you It's a doggone shame  Knowin' you don't love me You go on and use me So continuously I don't know why  I love you like I do When you're breaking my heart And you know it's true But I'm a fool for you  I'm a fool for you But I'm a fool for you I'm a fool for you Doggin' me every day  But child, I'm here to stay 'Cause I'm a fool for you You don't want me to stay But I'm a fool for you  Do me wrong now every day Child, I'm a fool for you Ah-ha-ha-hoo I'm a fool for you",3
"596","The Impressions","Amen","Amen, amen, amen, amen, amen sing it over Amen, amen, amen, amen, amen See the little baby Wrapped in a manger on Christmas morning singing in the temple Talking with the elders Tomorrow there's wisdom  Amen, amen, amen, amen, amen Hallelujah Amen, amen, amen, amen, amen Down at the Jordan John was baptizing and saving all sinners See him at the seaside Talking with the fisherman And made them disciples  Amen, amen, amen, amen, amen Keep on pushin now Amen, amen, amen, amen, amen Hallelujah now Amen, amen, amen, amen, amen  more Impressions Lyrics   ",3
"601","The Impressions","This Is My Country","",3
"602","The Impressions","Say You Love Me","",3
"604","The Impressions","Woman's Got Soul","She may not be the best lookin' woman I ever did see Nor have the charms of the ladies Of high society  But the woman's got soul Worth all money and gold And all the love that I have belongs To the woman with soul  Now I'm just a regular fellow I don't need much I don't need a Cadillac car Or diamonds and such  But the woman that I hold She's got to have soul And then I'm richer than the richest gold If the woman's got soul  Well, I don't need a woman That's got a whole lotta class Because class in a woman Don't mean she's gonna last  I need the kind of woman That when I hold she fits so tight, yeah Oh, and when she throws it on me I give in without a fight Then I know  The woman's got soul Worth all money and gold And then I'm richer than the richest gold  If the woman's got soul If the woman's got soul",3
"605","The Impressions","Keep On Pushing","Keep on pushing  I've got to keep on pushing (mmm-hmm) I can't stop now Move up a little higher Some way, somehow  'Cause I've got my strength And it don't make sense Not to keep on pushin'   Hallelujah,  hallelujah Keep on pushin'  Now maybe some day I'll reach that higher goal I know that I can make it With just a little bit of soul 'Cause I've got my strength And it don't make sense Not to keep on pushin'  Now look-a look (look-a look) A-look-a yonder What's that I see A great big stone wall Stands there ahead of me But I've got my pride And I'll move on aside And keep on pushin'    Keep on pushin'",3
"607","The Impressions","Meeting Over Yonder","Children, are you ready? There's gonna be a meeting over yonder Children, are you ready? There's gonna be a meeting over yonder  All the boys and the girls' gonna be there Young and old, weak and strong's gonna be there So children, are you ready? For the meeting over yonder  Get my coat, got to go To the meeting over yonder I've got to learn what I don't know At the meeting over yonder  At the talkin', I'm sure all will agree The best thing for you, you and me Is go to the meeting over yonder Go to the meeting over yonder Keep on pushin' now  Children, are you ready? There's gonna be a meeting over yonder Children, are you ready? For the meeting over yonder  All the boys and the girls' gonna be there Young and old, weak and strong's gonna be there So children, are you ready? For the meeting over yonder  There's gonna be a meeting over yonder For the meeting over yonder For the meeting over yonder For the meeting over yonder For the meeting over yonder",3
"610","The Impressions","I'm So Proud","Prettier than all the world And I'm so proud (I'm so proud) I'm so proud of you  You're only one fellow's girl And I'm so proud (I'm so proud) Believe me, I love you too  I'm so proud of being loved by you And it would hurt, hurt to know If you ever were untrue Sweeter than the taste of a cherry so sweet And I'm so proud (I'm so proud) I'm so proud of you  Compliments to you from all the people we meet Yes, and I'm so proud (I'm so proud) Believe me, I love you too  I'm so proud of being loved by you I'm so proud of being loved by you  And it would hurt, hurt to know If you ever were untrue Sweeter than the taste of a cherry so sweet And I'm so proud (I'm so proud) I'm so proud of you Compliments to you from all the people we meet Yes, and I'm so proud (I'm so proud)  Believe me, I love you too Sweeter than the taste of a cherry so sweet And I'm so proud (I'm so proud) I'm so proud of you Compliments to you from all the people we meet Yes, and I'm so proud (I'm so proud) Believe me, I love you too",3
"611","The Impressions","Can't Satisfy","You know I can't satisfy your love, I can't satisfy Seems I can't satisfy your love, I can't satisfy  Oooh I found out in time what was on your mind You never planned to stay, didn't love me anyway One of the chosen few, did what you told me to All you ever did was lie, I can't satisfy  Seems I can't satisfy your  love, I can't satisfy  You seem so complete, so petite and sweet But never do I know just which way you're gonna go Sometimes I wonder why, why do you make me cry Why do the love inside swallow up all of my pride  But I can't satisfy your love, I can't satisfy No, no, no, no, no, I can't satisfy your love, I can't satisfy  (musical interlude)  You seem so complete, so petit and sweet But never do I know just which way you're gonna go Sometimes I wonder why, why do you make me cry  Why does the love inside swallow up all of my pride  When I can't satisfy your love, I can't satisfy, I can't, no, no, no I can't satisfy your love, I can't satisfy  One of the chosen few, did what you told me to All you ever did was lie, I can't satisfy  Seems I can't satisfy your love, I can't satisfy  No no no I can't satisfy your love, no I can't satisfy",3
"615","Bobby Vinton","Please Love Me Forever","Please love me forever Don't forget me ever Just listen to my plea Please don't stop loving me  You're in my dreams nightly Don't take my love lightly Begging on bended knee Please don't stop loving me  Oh, when I lay me down to sleep I pray the Lord your love I'll keep If I should die before I wake I'll come back for you That's no mistake  Oh, I'll love you forever Can't forget you ever Our love was meant to be Please don't stop loving me  I'll love you forever Can't forget you ever Our love was meant to be Please don't stop loving me",3
"618","Bobby Vinton","Just As Much As Ever","Just as much as ever I need you and want you to be here Just as much as ever I love you, and always will, my dear  Even though we two are parted My feelings for you never drop For loving you is something I started And don't know how to stop  Just as much as ever I'm hoping that you'll be mine again Darlin', 'cause I'll never be satisfied till then For I am still the same old me With the same old love for you Just as much as ever, my heart beats for you  (Just as much as ever) (I'm hoping that you'll be mine again) Darling, 'cause I'll never be satisfied till then For I am still the same old me With the same old love for you Just as much as ever, my heart beats for you ",3
"621","Bobby Vinton","To Know You Is To Love You","Why can't you see? Oh, how blind can you be?  To know, know, know you Is to love, love, love you Just to see you smile Makes my life worthwhile  To know, know, know you Is to love, love, love you And I do, yes I do, yes I do  I'll be good to you And I'll bring love to you Oh, everyone says there'll come a day When I'll walk along side of you  And to know, know, know you Is to love, love, love you And I do, yes I do, yes I do  Why can't you see? Oh, how blind can you be? Someday you'll see That you were meant for me  To know, know, know you Is to love, love, love you Just to see you smile Makes my life worthwhile  To know, know, know you Is to love, love, love you And I do, yes I do, yes I do And I do, yes I do, yes I do Yes I do",3
"622","Bobby Vinton","Tears","Tears for souvenirs Are all you left me Memories of a love You never meant  I just can't believe You could forget me After all the happy hours We spent together  Tears have been my only consolation But tears can't mend a broken heart I must confess  Let's forgive and forget Turn our tears of regret Once more to tears of happiness  Tears have been my only consolation But tears can't mend a broken heart I must confess  Let's forgive and forget Turn our tears of regret Once more to tears of happiness  Let's change our tears to happiness",3
"623","Bobby Vinton","Halfway To Paradise","I want to be your lover  But your friend is all I've stayed  I'm only halfway to paradise  So near, yet so far away   I long for your lips to kiss my lips  But just when I think they may  You lead me halfway to paradise  So near, yet so far away, mmm   Bein' close to you is almost heaven (heaven)  But seein' you can do just so much  It hurts me so to know your heart's a treasure (treasure)  And that my heart is forbidden to touch, so   Put your sweet lips close to my lips  And tell me that's where they're gonna stay  Don't lead me halfway to paradise  Mmm, so near, yet so far away   Oh, uh, oh so near, yet so far away  Yeah, yeah so near, yet so far away  ",3
"627","Bobby Vinton","Long Lonely Nights","Long, long and lonely nights I cry my eyes out over you Wond'ring if I did right And why you left me with a broken heart  Oh, long, long and lonely nights Oh, how I miss you, my dear Please, please, come back to me How I wish you were here  As I go along my lonely way I visualize your face When I pass through (yeah!) my doorway What's left for me to face?  Oh, long, long and lonely nights I guess you're never coming home Long, long and lonely nights Ever since you've been gone  As I go along my lonely way I visualize your face When I pass through (yeah!) my doorway What's left for me to face?  Oh, oh, oh, long, long and lonely nights I guess you're never coming home Long, long and lonely nights Ever since you've been gone  Please, please, come back to me You've been gone too long",3
"628","Bobby Vinton","Dum-De-Da","You ask me why Why I love her Whoa, whoa, whoa, whoa Dum de da dee do  I'll tell you why Why I love her Whoa, whoa, whoa, whoa Dum de da dee do  She understands me The way you never did She loves me, she loves me The way you never did  She takes the time To notice I'm around She builds me up She never lets me down  You want to know If I'll come back to you Whoa, whoa, whoa, whoa Dum de da dee do  After knowing her No other love will do Whoa, whoa, whoa, whoa Dum de da dee do  She understands me The way you never did She loves me, she loves me The way you never did  She takes the time To notice I'm around She builds me up She never lets me down  After knowing her No other love will do Whoa, whoa, whoa, whoa Dum de da dee do",3
"634","Bobby Vinton","Clinging Vine"," Cling to me, clinging vine Just to me, clinging vine How I wish those arms You're clinging to were mine Please come back and cling to me Clinging vine  I can't believe that we're through That you're clinging to someone new Don't you know he'll never love you Like I do (like I do)  Please come back and cling to me Clinging vine    Please come back and cling to me Clinging vine",3
"639","Bobby Vinton","Red Roses For Mom","(Roses, roses)  I'll send red roses to Mom So she'll know I'm thinking of her It's been a long time Since I told her that I love her  I'll send red roses to Mom Her love cannot be repaid Just a bouquet to say What's in my heart today  It's a little thing to do Which she'll appreciate Why hesitate Tomorrow may be too late  She sacrificed to me many a day I'll send her roses And hope that they will day  Thank you, Mom, for the days When you kissed away my tears And thank you for your love Enough to last through all my years  And if the roses say What I want them to They'll say, thank you, Mom Just for being you Thank you, Mom",3
"641","Bobby Vinton","For He's A Jolly Good Fellow","(For he's a jolly good fellow)  I'm the life of the party And the drinks are on me The occasion is to celebrate A wedding to be  The groom is my best friend The bride, my old flame And as they raise their glasses to me They sing out my name  For he's a jolly good fellow Which nobody can deny But it takes a jolly good fellow To say congratulations To the other guy When all the time You wanna break down and cry  Well, it's all that I can do To hold back the tears An wish them all the happiness Through the coming years  But I'll buy another round And a toast I proclaim And as they raise their glasses to me They sing out my name  For he's a jolly good fellow Which nobody can deny But it takes a jolly good fellow To say congratulations To the other guy And all the time You wanna break down and cry  (Break down and cry)",3
"642","Bobby Vinton","Tell Me Why","Tell me why, though I try to forget Tell me why, why I think of you yet I know I'll never be free What has happened to me?  Tell me why, when we danced until three Tell me why, why my heart couldn't see I never dreamed of romance Never gave it a chance  When I think of how you looked that day In your gown of silk and lace Should have known the day you came my way That this was the time and the place  Tell me why I keep fooling my heart When I know it was love from the start Why don't we give it a try? If you know, tell me why  Tell me why I keep fooling my heart When I know it was love from the start Why don't we give it a try? If you know, tell me why  Tell me. Tell me why",3
"644","Bobby Vinton","The Days Of Sand And Shovels","When I noticed her the first time I was outside running barefoot in the rain She lived in the house next door Her nose was pressed against the window pane  When I looked at her she smiled  And showed a place where two teeth used to be And I heard her ask her mom if she  Could come outside and play with me  Soon the day's of sand and shovels  Gave way to the mysteries of life Then I noticed she was changing and I  Looked at her through different eyes  We became as one and knew a love Without beginning or an end And everyday I lived with her  Was like a new day dawning once again  And I've loved her since every doll was Shirley Temple Soda pop was still a nickel Jam was on her fingertips Milk was circled on her lips  After many years our live grew  Silent and at night I heard her cry  And when she left me in the fall I knew That it would be our last goodbye  I was man enough to give her  Everything she needed for a while And searching for a perfect love  I found that I could not give her a child  Now she lives a quiet life  And is the mother of a little girl Every time I pass her house  My thoughts go back into another world  Because I see her little girl Her nose is pressed against the window pane She thinks I'm a lonely man  Who wants to come inside out of the rain  And I've loved her since every doll was shirley Temple Soda pop was still a nickel Jam was on her fingertips Milk was circled on her lips",3
"645","Bobby Vinton","My Heart Belongs To Only You","My heart belongs to only you I've never loved as I love you You've set a flame within me burning A flame to stay within me yearning It's just for you I want to live It's just to you my heart I give I'll always be your slave my darling Through the coming years  There were sometimes when I was doubtful Of this new love affair But now my mind is no more doubtful I've found my heaven with the help of a prayer  You are the song within my soul A melody that can't grow old I've known for long My heart belongs to only you  You are the song within my soul A melody that can't grow old I've known for long My heart belongs to only you",3
"647","Bobby Vinton","Coming Home Soldier","I'm coming home I'm coming, I'm coming home I'm coming home.  Home, I'm coming home. Coming home from across the sea. Home, I'm coming home. No more marching and fighting for me  I am soldier, A coming home soldier. No purple heart Do I wear on my chest. I'm just a soldier, A coming home soldier I know that I, I've done my best.  I'm coming home I'm coming, I'm coming home I'm coming home.  The girl I left behind. Has been waiting patently She said, she didn't mind. Cause helpin' keep our land free.  I am soldier, A coming home soldier. No purple heart Do I wear on my chest. I'm just a soldier, A coming home soldier I know that I, I've done my best.  I'm coming home I'm coming, I'm coming home I'm coming home.",3
"655","Bobby Vinton","Take Good Care Of My Baby","My tears are fallin' cause you've taken her away And through it really hurts me so There's something that I gotta say  Take good care of my baby Please don't ever make her blue Just tell her that you love her Make sure you're thinking of her In everything you say and do Take good care of my baby Now don't you ever make her cry Just let your love surround her Don't let her see a cloudy sky Once upon a time that little girl was mine If I'd been true I know she'd never be with you, so Take good care of my baby Be just as kind as you can be And if you should discover That you don't really love her Just send my baby back home to me Take good care of my baby Please don't ever make her blue Just tell her that you love her Make sure you're thinking of her In everything you say and do Take good care of my baby Now don't you ever make her cry Just let your love surround her Don't let her see a cloudy sky Once upon a time that little girl was mine If I'd been true I know she'd never be with you, so Take good care of my baby Be just as kind as you can be And if you should discover That you don't really love her Just send my baby back home to me Oh take good care of my baby, take good care of my baby Just take good care of my baby ",3
"656","Bobby Vinton","Petticoat White (Summer Sky Blue)","When I was just a little boy so high, A pretty little girl came dancing by She said hello to me And smiled so tenderly And asked me what's my name   And she wore Petticoat white and summer sky blue The sweetest little thing I ever ever knew Petticoat white and summer sky blue The sweetest little thing I ever knew  I never will forget the early years The way we shared the laughter and the tears And our first precious kiss Oh, how I'd come to this When she moved away    Someday, I'll marry and I'll settle down I'll see my girl there in her wedding gown It will recall to me Our childhood memory As she walks down the aisle  'Cause she'll wear Petticoat white and summer sky blue The sweetest little thing I ever ever knew Petticoat white and summer sky blue The sweetest little thing I ever knew  'Cause she wore Petticoat white and summer sky blue The sweetest little thing I ever ever knew",3
"658","Bobby Vinton","What Color (Is A Man)","Once a little boy Aat upon his daddy's knee With picture and crayons In his hand  He said, when I grow up This is the man I want to be Daddy, what color is a man  When I am a man I want to be happy I want to be strong and free Want to be brave like a soldier What crayon should I use to color me  If you color him blue, son He may not be a happy man If you color him red, son Someone may steal his land  If you color him green or yellow He may be jealous and cowardly If you color him black, son He may never be free  Then he told his son Put your crayons away Try your best to understand Man is never made of any colors And color never made any man  A man (a man, a man, a man) a man",3
"659","Bobby Vinton","I Love How You Love Me","I love how your eyes close whenever you kiss me And when I'm away from you I love how you miss me I love the way you always treat me tenderly But, darling, most of all I love how you love me (Love how you love me)  I love how your heart beats whenever I hold you I love how you think of me without being told to I love the way your touch is always heavenly But, darling, most of all I love how you love me  (Love how you love me)   I love how your eyes close whenever you kiss me And when I'm away from you I love how you miss me I love the way your touch is always heavenly But, darling, most of all I love how you love me  (Love how you love me)  I love how you hug me (love how you hug me) I love how you squeeze me, tease me, please me Love, how you love me I love how you love me",3
"660","Bobby Vinton","L-O-N-E-L-Y","Lonely Lonely The ""L"" is for the laughter, we shared from the start ""O"" is for the only girl in my heart The ""N"" is for the night, you told me we were though For you had found somebody new  ""E"" is for the end of my world, a place I shared with only you Empty, my world is dark Loneliness has just begun The ""L"" is for the Love that was meant for me only And ""why"" Why did you leave me lonely.  Lonely",3
"661","Bobby Vinton","Satin Pillows","Satin pillows to cry on Satin pillows to cry on You've got nothing else to rely on  You gave up the most precious thing in life You turned from love to be a rich man's wife The man you married is colder than all his gold You're something he bought to keep from growing old  Now you've got satin pillows to cry on Satin pillows to cry on You've got nothing else to rely on And you've got fancy dresses and big cars Diamonds that outshine the brightest stars But diamonds can't replace the love we knew They won't keep you warm like my arms used to Now you've got satin pillows to cry on Satin pillows to cry on You've got nothing else to rely on Satin pillows to cry on Satin pillows to cry on.",3
"669","Sam Cooke","Good Times","Yeah, come on and let the good times roll We're gonna stay here till we soothe our souls If it take all night long One more time, come on and let the good times roll We're gonna stay here till we soothe our souls If it take all night long  Gotta tell you, evenin' sun is sinkin' low The clock on the wall say it's time to go I got my plans, I don't know about you I'll tell you exactly what I'm gonna do  Get in the groove and let the good times roll I'm gonna stay here till I soothe my soul If it take all night long Yeah, everybody let the good times roll We're gonna stay here till we soothe our souls If it take all night long  Yeah, it might be 1 o'clock and it might be 3 Time don't mean that much to me I've felt this good since I don't know when And I might not feel this good again  So come on and let the good times roll We're gonna stay here till we soothe our souls If it take all night long And all night (all night) and all night (all night) And all night (all night) and all night long (all night) Somebody said it might take all night long And all night (all night) and all night (all night), so Come on and let the good times roll We're gonna stay here till we soothe our souls If it take all night long",3
"685","Sam Cooke","A Change Is Gonna Come","I was born by the river in a little tent Ohh and just like the river I've been running ev'r since It's been a long time, a long time coming But I know a change gonna come, oh yes it will  It's been too hard living, but I'm afraid to die 'Cause I don't know what's up there, beyond the sky It's been a long, a long time coming But I know a change gonna come, oh yes it will  I go to the movie and I go downtown Somebody keep tellin' me don't hang around It's been a long, a long time coming But I know a change gonna come, oh yes it will  Then I go to my brother And I say brother help me please But he winds up knockin' me Back down on my knees, ohh  There have been times that I thought I couldn't last for long But now I think I'm able to carry on It's been a long, a long time coming But I know a change is gonna come, oh yes it will",3
"686","Sam Cooke","Sugar Dumpling","Sugar dumpling, you're my baby I love you in every way Sugar dumpling, you're my baby My love grows stronger everyday, yeah Sugar dumpling, you're my baby I love you in every way (Sugar dumpling) Sugar dumpling, you're my baby My love grows stronger everyday (Everyday) Listen, while I tell you a story A story about my girl I call her sugar dumpling Because she's the sweetest thing in this whole world Oh, whenever I'm feeling bad Right away she puts me to bed And she hires two nurses, one to hold my hand The other one to rub my head Sugar dumpling, you're my baby I love you in every way (Sugar dumpling) Sugar dumpling, you're my baby My love grows stronger everyday (Everyday) Oh, whenever I tell her, ""Honey I'm hungry"" Now go and fix me something to eat This girl rushes in the kitchen and fixes me a dinner With seven different kinds of meat If I call her up at two o'clock in the morning And say, ""Come on over if you can"" Before I hang up the telephone, she's sitting beside me With a cup of coffee in her hand Sugar dumpling, you're my baby I love you in every way (Sugar dumpling) Sugar dumpling, you're my baby My love grows stronger everyday (Sugar dumpling) Sugar mommy, sugar dumpling, you're my baby I love you in every way (Sugar dumpling) I love you, sugar dumpling My love grows stronger everyday (Sugar dumpling) Sugar dumpling, I love you in every way (Sugar dumpling) Sugar dumpling, my love grows stronger everyday (Sugar dumpling) ",3
"691","Sam Cooke","Tennessee Waltz","Well I was dancin' with my baby to the Tennessee Waltz When that old friend I happened I happened to see oh yeah  I introduced her to my baby And while they were dancin' My friend stole my sweetheart away from me  Oh yes he did  I remember the night and that Tennessee Waltz Only  you know know how much I lost oh yeah You know that I lost my lost my baby  That night they kept playing That beautiful Tennessee Waltz oh yeah  I was dancin' with my baby to that Tenne-Tennessee Waltz When that old friend I happened I happened to see oh yeah Introduced her to my baby While while they were dancin'  Dirty dog stole my baby from me  I remember that night and that Tennessee Waltz Only you know just how much how much I have lost You know that I lost my lost my baby That night they kept on playing  That beautiful That wonderful That marvelous That glorious That beautiful Tennessee Waltz",3
"692","Sam Cooke","Cousin Of Mine","There's a scandal in the neighborhood And it's all about Julie brown It seems a long lost cousin, Jeremiah Had lately arrived in town Now when Julie's fella came to call and saw them kissing He started home at once But Julie said, ""I'm surprised at you Don't go acting like a dunce"" Why? He's a cousin of mine, a cousin of mine You're liable for to see him here any old time He's a cousin of mine, a cousin of mine Go on, he's a cousin of mine Now when Julie had explained her relationship He said, ""Honey, that may be so"" But this fella don't look like a thirty-second cousin That I met here a week ago Julie smiled at him and joined her cousin, sad And as they slowly walked away He heard him ask, ?Who was that fella?? And he heard his Julie say Why? He's a cousin of mine, a cousin of mine You're liable for to see him here any old time He's just a cousin of mine, a cousin of mine Go on, he's a cousin of mine Would I fool you? Go on he's a cousin of mine ",3
"697","Sam Cooke","That's Where It's At","Eyes turned away I know  And music soft and slow  With someone you love so  That's where it's at, yeah  Your world turned upside down  You're making not a sound  No one else around  That's where it's at, yeah  Let me tell you  Your heart beatin' fast  You're knowin' that time won't last  But a-hopin' that it lasts  That's where it's at, oh yeah  That's where it's at, pretty baby  That's where it's at, oh yes it is  That's where it's at, pretty baby  That's where it's at, oh yeah  Let me tell you just one thing  To say it's time to go  And she says ""Yes I know""  But just stay one minute more  That's where it's at  Oh let me say it one more time  That's where it's at, pretty baby  That's where it's at, I know that's where it's at  That's where it's at, pretty baby  That's where it's at",3
"705","Sam Cooke","Let's Go Steady Again","You left me for a new love You found out it wasn't a true love Now that he's gone Let's go steady one more time Please don't cry, you've got to be strong dear I know, I know, I know, I know, I know he was wrong dear But now that he's gone, let's go steady one more time I know he was wrong to come to the dance With another girl the way, that he did I knew he was wrong when he took your love from me After all he was once my best friend But that's all in the past oh, let's forget him He'll never hurt you anymore, I won't let him Now that he's gone, let's go steady one more time Yes, he was wrong to come to the dance With another girl the way that he did I knew he was wrong when he took your love from me After all he was once my best friend But that's all in the past, oh, let's forget him He'll never hurt you anymore, I won't let him Now that he's gone, let's go steady one more time ",3
"711","Sam Cooke","It's Got The Whole World Shakin'","It's got the whole world shaking Something must be going on, all right It's got the whole world shaking Something must be going on, what I say It's got that soul in it, baby You can't meet that beat alone, all right It's got the whole world shaking And I'm talking bout that beat, all right It's got the whole world shaking And I'm talking bout that beat, what I say It's got that soul in it, baby You can't help but pat your feet, all right Well, it makes you wiggle, it makes you move Puts your body in the groove You want to holler oh, you want to shout Makes you wanna work it on out It's got the whole world shaking From New York to old Hong Kong, all right It's got the whole world shaking From New York to old Hong Kong oh, what I say It's got that soul in it, baby You can't meet that beat alone ",3
"716","Sam Cooke","Shake","Shake!  Shake!  Shake!  Shake!   Listen  Listen while I talk to you I tell you what we're gonna do There's a new thing that's going around And I'll tell you what they're puttin' down  Just move your body all around And just shake Oh, mamma Shake that's the way to do it Shake Oh, you're looking good now Shake Yeah, ha  Shake it like a bowl of soup And make your body loop de loop Put your hands on your hips And kinda let your backbone slip Move your body like a whip And just shake!  Umm, that's doing it Shake Yeah, you're looking good now Shake Go on, do it baby Shake Yeah, Ohh  A ring-a-ling-a-ling Honey, shakin' is the latest thing And if you want to swing Just loosen up them shoulders  And if you want to really roll You got to do the thing with soul Shake the shake with all your might Oh, if you do it, do it right  Just make your body loose and light And kinda shake Oh, honey  Shake Hoooo Shake Oh, that's the way to do it Shake Ah-ah-ah-ah-ah-yeah  Alright  Oh, you're doing it now honey  C'mon, loosen up them shoulders  If you want to really roll Got to do the thing with soul Shake the shake with all your might Now, if you do it, do it right  Make your body loose and light And just shake Oh, I like to do it Shake Make me feel good now Shake All gone baby Shake Don't be shy now Shake Dance, with you mama Shake Don't, do it baby Shake Oh, yeah Shake",3
"725","Sam Cooke","Feel It","Feel it Feel it Feel it Feel it  Baby when the band is playin' And that solid beat Make you wanna move, make you wanna groove Make you wanna pat your feet Don't fight it, don't fight it, feel it  Oh now, when we dance close together With your cheek close to mine And you begin to feel a funny little thrill Moving up your spine Don't fight it, don't fight it, feel it  Oh now, baby when the swingin' music Make you wanna flip Don't be in pain tryin' to restrain Go ahead and move your hips  Oh baby when you're dancin' near me And I feel I wanna tease Oh and when I do, the feeling gets you  And you feel you wanna squeeze Don't fight it, don't fight it, just feel it Feel it Feel it Feel it Feel it Feel it Feel it  Oh now, baby when the swingin' music Make you wanna flip Don't be in pain tryin' to restrain Go ahead, shake them hips  Oh baby when you're dancin' near me And I feel I wanna tease And when I do, the feeling gets you And you feel you wanna squeeze Don't fight it, don't fight it, just feel it Feel it Feel it Feel it Feel it Feel it Feel it",3
"736","Sam Cooke","Good News","Oh, my baby's Comin’ home tomorrow Ain't that good news Man, ain't that news  Baby's comin’ home tomorrow Ain't that news Man, ain't that news  I got a letter just the other day Tellin’ me that she was on her way And she want me to Meet her at the station  Ain't that good news Man, ain't that news  In the letter She told me she still loved me Ain't that good news Man, ain't that news  In the letter She told me that she loved me Ain't that news Man, ain't that news  She said she's sorry that she left Found out she don't want nobody else She said she wants me all to herself  Ain't that good news Man, ain't that news  Ain't that news Ain't that good news Man, I know that's good news  My baby's comin’ home tomorrow Ain't that good news Man, ain't that news  I'm gonna have her A party at the station Ain't that good news Man, ain't that news  Have a party at the station Ain't that news Man, ain't that news  I can't wait to get her home Where we can finally be alone Disconnect my telephone Ain't that good news Man, ain't that news  Ain't that news Ain't that good news Man, man, man ain't that news  My baby's comin’ home tomorrow Ain't that good news Man, ain't that news  Good news, good news Ain’t that good news",3
"740","Sam Cooke","When A Boy Falls In Love","I've heard them say love was a wonderful things Something you couldn't hide on a shelf But for me they no longer have to explain Because I know for myself  He awakens each morn with a smile on his face When a boy is in love And the world to him is a beautiful place When a boy is in love He's up and he's gone There's no breakfast for him Cause he lives on the love of his sweet little gem The days not through, though it's not very long Before he must talk to his girl on the phone That's how it is when a boy falls in love  His girl's voice on the phone brings him wondrous delight When a boy is in love If there's been any darkness, it all fades from sight When a boys in love He can hardly wait til the moment they meet For he knows when he sees her his day will be complete When they're finally alone and he kisses her lips The world sings a love song and his heart turns a flip That's how it is when a boy falls in love  At the end of the day the time comes they must part The strings of regret tear away at his heart And late in the night as he sleeps on his bed Visions of her sweet song, how they dance in his head And before you know he is buying a ring To capture forever that sweet darling thing That's how it is when a boy falls in love That's how it is when a boy falls in love",3
"769","The Grass Roots","The River Is Wide","The sky was clear on that windy day 'Till the clear blue sky began to turn to gray The lightning flashed, the thunder roared above Then fell a drop of rain to start our love  Let the river get wide, the river gets long, now The water runs deep as our love gets strong now So baby, don't you fight and say you belong now To me  Upon the roof we heard the gentle rain With the rhythm of our heartbeats, down it came As it hit each drop our hearts could feel the pain No one on earth can stop a drop of rain  Let the river get wide, the river gets long, now The water runs deep as our love gets strong now So baby, don't you fight and say you belong now To me  Let the river get wide, the river gets long, now The water runs deep as our love gets strong now So baby, don't you fight and say you belong now To me  Let the river get wide, the river gets long, now The water runs deep as our love gets strong now So baby, don't you fight and say you belong now To me",3
