"","Artist","Song","Lyrics"
0,"The Buckinghams","Don't You Care","If you don't love me
Want to settle down
Oh oh"
56,"The Byrds","It Won't Be Wrong","Every time I see you smile, come to me, don't be long
Let me tell you how my heart goes wild
Please let me love you and it won't be wrong

Every time you're in my arms, come to me, don't be long
You know that I'll never do you no harm
Please let me love you and it won't be wrong

Let me love you and then you'll see, come to me, come to me
Let me show you once and we'll be free
Please let me love you and it won't be wrong

Every time I see you smile, come to me, don't be long
Let me tell you how my heart goes wild
Please let me love you and it won't be wrong

Let me love you and then you'll see, come to me, come to me
Let me show you once and we'll be free
Please let me love you and it won't be wrong
Please let me love you and it won't be wrong
Please let me love you and it won't be wrong"
57,"The Byrds","Boston","Spoke to my girl on the phone today
She said she wish I'd come there right away
In Boston Massachusetts where she lives
Got to get there for the love she gives

Catch a plane and soon I will be gone
And I'll be in her arms before too long
In Boston Massachusetts she'll be there
And we'll be together everywhere

You see, I'm leaving 'cause I'm sad
Got a girl and I want to see her bad
You see I'm not leaving 'cause of you
I just can't stand to sit here feeling blue

Can't go on when I don't like this town
I feel so bad not having her around
In Boston Massachusetts where she lives
Got to get there for the love she gives"
58,"The Byrds","All I Really Want To Do","I ain't lookin' to compete with you
Beat or cheat or mistreat you
Simplify you, classify you
Deny, defy or crucify you
All I really want to do
Is, baby. be friends with you.

No, I ain't lookin' to fight with you
Frighten you or tighten you
Drag you down or drain you down
Chain you down or bring you down
All I really want to do 
Is, baby, be friends with you.

I ain't lookin' to block you up
Shock or knock or lock you up
Analyze you, categorize you
Finalize you or advertise you
All I really want to do
Is, baby, be friends with you.

I don't want to straight-ace you
Race or chase you, track or trace you
Or disgrace you or displace you
Or define you or confine you
All I really want to do
Is, baby, be friends with you.

I don't want to meet your kin
Make you spin or do you in
Or select you or dissect you
Or inspect you or reject you
All I really want to do
Is, baby, be friends with you.

I don't want to fake you out
Take or shake or forsake you out
I ain't lookin' for you to feel like me
See like me or be like me
All I really want to do
Is, baby, be friends with you."
59,"The Byrds","Tiffany Queen","Happiness hit me on the first day that we met
She was sitting in my kitchen with a face I can't forget
She was looking my direction and calling with her eyes
I was trying to do an interview and telling them all lies
Last year in the summer with a Tiffany lamp over her head

They were asking what I thought about the 50's rock n roll
Then they got into their limousine and fell into a hole
I moved into the kitchen and I quickly fell in love
The warden came along and asked me what I was thinking of
Last year in the summer with a Tiffany lamp over her head

Well I grabbed her by the hand and with a few things I could
The warden said"
60,"The Byrds","I'll Feel A Whole Lot Better","The reason why oh I can't say I have to let you go and right away
After what you did I can't stay now
And I'll probably feel a whole lot better when you're gone

Baby for a long time you had me believe
That your love was all mine and that's the way it would be
But I didn't know that you were putting me on
And I'll probably feel a whole lot better when you're gone
             
Now I gotta say that it's not like before
And I'm not gonna play your games any more
After what you did I can't stay on
And I'll probably feel a whole lot better when you're gone"
61,"The Byrds","Thoughts And Words","One day you came into my mind
And everything looked as though it was all mine
Loveliness to gaze upon
To feel your magic pulling me away
I thought I was on top of it all
Everyone else was so small
Then I knew what you wanted to do
I knew what you wanted to do
Often think of times when all your thoughts and words
Come close to making me lose my mind
Moment now recalling all the time involving minutes
That we spent alone
I thought I was on top of it all
Everyone else was so small
Then I knew what you wanted to do
I knew what you wanted to do
One day you came into my mind
And everything looked as though it was all mine
Loveliness to gaze upon
To feel your magic pulling me away
I thought I was on top of it all
Everyone else was so small
Then I knew what you wanted to do
I knew what you wanted to do
"
62,"The Byrds","Full Circle","Funny how the circle turns around
First you're up and then you're down again
Though the circle takes what it may give
Each time around it makes it live again
Funny how the circle is a wheel
And you can steal someone who is a friend
Funny how the circle takes you to fly
And if it's right it brings it back again.

Funny how the circle turns around
You think you're lost and then you're found again
Though you always look for what you know
Each time around is something new again
Funny how the circle is a wheel
And you can steal someone who is a friend
Funny how the circle takes you to fly
And if it's right it brings it back again.

Funny how the circle is a wheel
And you can steal someone who is a friend
Funny how the circle takes you to fly
And if it's right it brings it back again."
63,"The Byrds","Gunga Din","I'm writing this here letter from aboard a DC8
Heading into Angel Town, I hope it's not too late
It rained in New York City
Mister Rock 'n' Roll couldn't stay
The crowd was mad and we were had
Chasing the sun back to L.A.

Have breakfast with me mamma
I hope they'll let us in
Got a leather jacket on
I know that it's a sin
Gunga Din

Sitting backwards on this airplane, is bound to make me sick
Spend your life on a DC8, never get to bed
Settle down (settle down)
Now we're over Kansas, where the clouds are floating by
The whole wide world looks back at me
Just like a mushroom pie I wonder why

Have breakfast with me mamma
I hope they'll let us in
Got a leather jacket on
I know that it's a sin
Gunga Din"
64,"The Byrds","See The Sky About To Rain","Written by Neil Young


See the sky about to rain
Locomotive pull the train
Whistle blowin through my brain
Rolling down the track again
Signals curling on an open plain

See the sky, about to rain

Some are bound for happiness
Some are bound for glory
Some are bound to live with less
Who can tell your story


See the sky about to rain
Locomotive pull the train

Whistle blowin through my brain
Signals curling on an open plain
Rolling down the track again

See the sky, about to rain


I was down in Dixie land
Played a silver fiddle
Played it loud and then the man
broke it down the middle
See the sky about to rain

"
65,"The Byrds","Bugler","Back when cattle creek used to sing
It's waters were sweet and it's banks were green
And sunny days, went on forever
Me and old bugler, we'd run wild
Blue tick hound and the redneck child
We thought we were, birds of a feather

Ah the fish would bite, my how they'd bite
We'd catch them possoms in the pail moonlight
For ma, just to please her
Bugler's voice like Gabriel's horn
Up in the cypress, all down through the corn
Golden sounds, yes to treasure

[Chorus]
Bugler, bugler, bless your hide
Jesus gonna take you for a chariot ride
Say goodbye, say goodbye

One day ma she brought the news
She said, honey young bugler's done paid his dues
He's been hit down, yes on that highway
Dry your eyes and stand up straight
Bugler's got a place at the pearly gates
Say goodbye sugar, oh say goodbye

[Chorus]"
67,"The Byrds","Well Come Back Home","Well come back home, well come back home
Well come back home, well come back home
If you wanna tell someone about it tell me, tell me
If you gotta tell someone about it tell me, tell me
I think that I am afraid to hear it
I know you're afraid to say yes
Tell me anyway you can
Ah but don't tell your momma
I won't tell your papa
Well come back home, well come back home
Well come back home, well come back home
If you wanna tell someone about it tell me, tell me
If you gotta tell someone about it tell me, tell me
I know that I am afraid to hear it
And I think that you're afraid to say it
Tell me how they kill a man
Ah but don't tell momma
I won't tell papa
Well come back home, well come back home
Well come back home, well come back home"
68,"The Byrds","Old Blue","Traditional, Arranged and Adapted by Roger McGuinn 
Well I had an old dog and his name was Blue
Yes, I had an old dog and his name was Blue
Well I had an old dog and his name was Blue
Bet ya five dollars he's a good dog too

Old Blue chased a possum up a holler (hollow) limb
Blue chased a possum up a holler limb
Blue chased a possum up a holler limb
The possum growled, Blue whined at him

Bye bye Blue
You good dog you
Bye bye Blue 
You good dog you

When old Blue died he died so hard
He shook the ground in my back yard
We lowered him down with a golden chain
And every link we called his name

Bye bye Blue You good dog you
Bye bye Blue 
You good dog you

My old Blue he was a good old hound
You'd hear him hollering miles around
When I get to Heaven first thing I'll do
I'll grab my horn and call for Blue

Bye bye Blue
You good dog you
Bye bye Blue
You good dog you"
69,"The Byrds","Spanish Harlem Incident","Gypsy gal, the hands of Harlem
Cannot hold you to it's heat
Your temperature's too hot for taming
Your flaming feet are burning up the street

I am homeless come and take me
Into the reach of your rattling drums
I gotta know babe all about my fortune
Down along my restless palms

Gypsy gal, you've got me swallowed
I have fallen far beneath
Your pearly eyes so fast and slashing
And your flashing diamond teeth

The night is pitch black, come and make my
Pale face fit in the place, ah please
I gotta know babe, I'm nearly drowning
If it's you, my lifelines trace

I've been wonderin' all about me
Ever since I seen you there
On the cliffs of your wildcat charms I'm riding
I know I'm 'round you but I don't know where

You have slayed me, you have made me
I got to laugh half ways off my heels
I got to know babe, will you surround me?
So I can know if I'm really real"
71,"The Byrds","Old John Robertson","Old John Robertson
He wore a Stetson hat
People everywhere would
Laugh behind his back

No one cared to take
Any time to find out
What he was all about
Fear kept them out

Children laughed and played
And didn't know his name
They could tell when he
Was coming just the same

Walking slow with old John's
Crippled wife by his side
Then she sighed, then she died

Magic words from him
Entrancing children's ears
But they laughed at him
When he went to hide his tears

All in vain was no game
For he'd lost an old friend
In the end, in the end

Old John Robertson
He wore a Stetson hat
People everywhere would
Laugh behind his back

No one cared to take
Any time to find out
What he was all about
Fear kept them out"
72,"The Byrds","You Don't Miss Your Water","In the beginning you really loved me
But I was blind and I could not see
But when you left me oh, how I cried
You don't miss your water till your well runs dry.

I was a playboy, I could not be true
I couldn't believe I really loved you
But when you left me oh, how I cried
You don't miss your water till your well runs dry.

In the beginning you really loved me
But I was blind and I could not see
But when you left me oh, how I cried 
You don't miss our water till your well runs dry."
73,"The Byrds","We'll Meet Again","We'll meet again 
Don't know where don't know when
But I know we'll meet again some sunny day

Keep smiling true 
Just like you always do
Till the blue skies make the dark clouds fade away
Some sunny day hey hey hey
Some sunny day hey hey hey
Some sunny day hey hey hey

We'll meet again don't know where don't know when
But I know we'll meet again some sunny day

We'll meet again 
Don't know where don't know when
But I know we'll meet again some sunny day

Keep smiling true 
Just like you always do
Till the blue skies make the dark clouds fade away
Some sunny day hey hey hey
Some sunny day hey hey hey
Some sunny day hey hey hey"
74,"The Byrds","The Times They Are A Changin","Come gather 'round people
Wherever you roam
And admit that the waters
Around you have grown
And accept it that soon
You'll be drenched to the bone.
If your time to you
Is worth savin'
Then you better start swimmin'
Or you'll sink like a stone
For the times they are a-changin'.

Come writers and critics
Who prophesize with your pen
And keep your eyes wide
The chance won't come again
And don't speak too soon
For the wheel's still in spin
And there's no tellin' who
That it's namin'.
For the loser now
Will be later to win
For the times they are a-changin'.

Come senators, congressmen
Please heed the call
Don't stand in the doorway
Don't block up the hall
For he that gets hurt
Will be he who has stalled
There's a battle outside
And it is ragin'.
It'll soon shake your windows
And rattle your walls
For the times they are a-changin'.

Come mothers and fathers
Throughout the land
And don't criticize
What you can't understand
Your sons and your daughters
Are beyond your command
Your old road is
Rapidly agin'.
Please get out of the new one
If you can't lend your hand
For the times they are a-changin'.

The line it is drawn
The curse it is cast
The slow one now
Will later be fast
As the present now
Will later be past
The order is
Rapidly fadin'.
And the first one now
Will later be last
For the times they are a-changin'."
76,"The Byrds","Just A Season","If all my days was hills to climb and circles without reason
If all I was was passing time, my life was just a season

Dares and dreams and silly schemes and fillies running freely
I was young and no song was sung that didn't sound appealing
I'd have my fun with a shy girl and maybe hop a train
And I'd look back at her standing in the rain
Dirty hands and root beer stands and money like a river
Making deals to see how it feels to get more than you're giving
I'd have my fun with a gamblin' man and bluff him with my face
And it's drinks for everybody in the place

If all my days was hills to climb and circles without reason
If all I was was passing time my life was just a season
If all my days was hills to climb and circles without reason
If all I was was passing time my life was just a season

Shouting crowds and mummer's shrouds and people going crazy
Always said what was in their heads it surely was amazing
I had my fun in the bull ring and never got a scar
It really wasn't hard to be a star

If all my days was hills to climb and circles without reason
If all I was was passing time my life was just a season"
77,"The Byrds","Lady Friend","Here it comes again, it's going to happen to me
Here it comes, I should have learned to duck
She's going to say, she's going away
And I will have to live without her and survive

Here it comes, it looks just like the last wave I drowned in
Here it comes and I'm so far from shore
She's going to go and take her trinkets
And I will have to live without her and survive

Here it comes again, the night is going to fall
Here it comes, she's going to say goodbye
She's going to go and leave only me
And I will have to live without her and survive"
78,"The Byrds","John Riley","Fair young maid all in her garden 
Strange young man passer by 
Says, ""Fair young maid, will you marry me?""
This then, sir, was her reply
""Oh no, kind sir, I cannot marry thee
For I've a love who sails across the sea 
Though he's been gone these seven years 
Still no man shall marry me""
""What if he's in some battle slain? 
Or if he's drowned in, in the deep salt sea?
What if he's found another love? 
He and his love both married be?""
""If he's in some battle slain
I will die, when the moon doth wane,
And if he's drownded in the deep salt sea,
I'll be true to his memory
And if he's found another love 
And He and his new love both married be
I wish them health and happiness 
Where they dwell across the sea""
He picked her up all in his arms 
And kisses gave her one, two and three
Saying ""Weep no more, my own true love 
I am your long lost John Riley""
Saying, ""Weep no more, my own true love
I am your long lost John Riley"""
79,"The Byrds","Sweet Mary","Sweet Mary I've got to be leavin'
Oh, I can't let you into my life
'Cause I know it would end in off grieving
And the last thing I need is a wife

When I met you I met you for pleasure
And the good times of runnin' around
Then you seemed so understanding
From the weight that's been draggin' me down
Then the good times are coming between us
Though you helped me I'm burning my load
And I've never felt more like a lover
But I'm running right off the road

Sweet Mary I've got to be leavin'
Oh, I can't let you into my life
'Cause I know it would end off in grieving
And the last thing I need is a wife

Oh, it's nothing you said or invited
And it's nothing you did that was wrong
And our love together was Heaven
And I promised myself to be strong

Sweet Mary I've got to be leavin'
Oh, I can't let you into my life
'Cause I know it would end off in grieving
And the last thing I need is a wife."
80,"The Byrds","Ballad Of Easy Rider","The river flows, it flows to the sea
Wherever that river goes that's where I want to be
Flow river flow, let your waters wash down
Take me from this road to some other town

All he wanted was to be free
And that's the way it turned out to be
Flow river flow, let your waters wash down
Take me from this road to some other town

Flow river flow, past the shady trees
Go river go, go to the sea
Flow to the sea

The river flows, it flows to the sea
Wherever it goes that's where I want to be
Flow river flow, let your waters wash down
Take me from this road to some other town"
81,"The Byrds","Blue Canadian Rockies","In the blue Canadian Rockies
Spring is silent through the trees
And the golden poppies are blooming
'Round the banks of Lake Louise

Now, oh, how my lonely heart is aching tonight
For that girl I left behind
And, oh, what I'd give if I could be there tonight
With the sweetheart who's waitin' for me

In the blue Canadian Rockies
Spring is silent through the trees
And the golden poppies are blooming
'Round the banks of Lake Louise

Across the sea they call me
And on and on a love so true
For the blue Canadian Rockies
And the one I love to see
And the one I love to see"
82,"The Byrds","Paths Of Victory","Trails of troubles,
Roads of battles,
Paths of victory,
I shall walk.

The trail is dusty
And my road it might be rough,
But the better roads are waiting
And boys it ain't far off.

Trails of troubles

I walked down by the river,
I turned my head up high.
I saw that silver linin'
That was hangin' in the sky.

Trails of troubles

The evenin' dusk was rollin',
I was walking down the track.
There was a one-way wind a-blowin'
And it was blowin' at my back.

Trails of troubles

The gravel road is bumpy,
It's a hard road to ride,
But there's a clearer road a-waitin'
With the cinders on the side.

Trails of troubles

That evening train was rollin',
The hummin' of its wheels,
My eyes they saw a better day
As I looked across the fields.

Trails of troubles

The trail is dusty,
The road it might be rough,
But the good road is a-waitin'
And boys it ain't far off.

Trails of troubles"
83,"The Byrds","C.T.A.-102","C.T.A. 102 year
Over year receiving you
Signals tell us that you're there
We can hear them loud and clear

We just want to let you know
That we're ready for to go
Out into the universe,
We don't care who's been there first

On a radio telescope
Science tells us that there's hope
Life on other planets might exist!"
85,"The Byrds","I Am A Pilgrim","I am a pilgrim and a stranger 
Traveling through this wearisome land 
I've got a home in that yonder city, good Lord 
And it's not, not made by hand 

I've got a mother, sister and a brother 
Who have gone this way before 
I am determined to go and see them, good Lord 
For they're on that other shore 

I'm goin' down to the river of Jordan 
Just to bathe my wearisome soul 
If I can just touch the hem of his garment, good Lord 
Then I know he'd take me home 

I am a pilgrim and a stranger 
Traveling through this wearisome land 
I've got a home in that yonder city, good Lord 
And it's not, not made by hand"
86,"The Byrds","You All Look Alike","Starlight crossed my eyes she took me by surprise
Said you'd come to town last summer brought me down
I said I'd never seen the likes of you before
She pulled a gun and not in fun I'm dyin' on the floor
You all look alike I'm sorry I don't know
You all look alike we never met before
No matter how I try to say I've never been down this way
Said I couldn't be fair 'cause you all look alike
Lyin' here and dyin' here I'm tryin' to get my strength
It's so hard to get on back when you're lyin' at full length
All the crowds and all the dogs from miles around just stare
They looked at me and shed a tear I'm glad those people care
You all look alike I'm sorry I don't know
You all look alike we never met before
No matter how I try to say I've never been down this way
Said I couldn't be fair 'cause you all look alike
You all look alike I'm sorry I don't know
You all look alike we never met before
No matter how I try to say I've never been down this way
Said I couldn't be fair 'cause you all look alike"
87,"The Byrds","You Got A Reputation","Well, you've got a reputation for running around
Ain't gonna take your fooling, baby, you know you better settle down
Because you ain't doing nothing
You're just tearing your own reputation down
You keep on running around, you know
And you ain't doing nothing but tearing your own reputation down

Now you got a disposition, you're putting me uptight
I know you're always fishing, baby, but I won't bite
Because you ain't doing nothing
You're just tearing your own reputation down
You keep on running around, you know
And you ain't doing nothing but tearing your own reputation down

You keep tearing your own reputation down 
Keep tearing your own reputation down"
88,"The Byrds","It Happens Each Day","Like a silent ray of sunlight
Catching in my eye
Like a bird sea goin'
Coasting on my sky

It happens each day
You're away from here

A bunch of friends are missing
From this tapestry
I remember kissing
Do you remember me

It happens each day
You're away from here

Like a disembodied spirit
Watching over me
Like a sister sailing ship
Dead against the sea

It happens each day
You're away from here"
89,"The Byrds","If You're Gone","If I need you, it's to me you're everything,
If I have you, if I love you just the same.
If you're here, the night is rightly gone before.
If you're gone, I'll see the daylight and that's all.
If I stand on understanding what is now,
If I ever need someone to show me how,
If the daylight can be hidden by the sun,
If you're gone, then I know I will need someone.
If I love you, If I know how much I care,
If I find the things you are then anywhere,
If I know you, I may never know your name.
If you're gone, then there is nothing that remains."
90,"The Byrds","Pretty Polly","There used to be a gambler who courted all around
There used to be a gambler who courted all around
He courted Pretty Polly, such a beauty never been found
""Pretty Polly, Pretty Polly, come go along with me
Pretty Polly, Pretty Polly, come go long with me
Before we get married, some pleasures to see.""

She jumped up behind him and 'way they did go
She jumped up behind him and 'way they did go
Down into the valley that was far below
They went a little further and what did they spot
They went a little further and what did they spot
But a newly dug grave with a spade lying by.

""Oh, Willy, oh, Willy, I'm afraid of your ways
Oh, Willy, oh, Willy, I'm afraid of your ways
I'm afraid you will lead my poor body astray""
""Pretty Polly, Pretty Polly, you guessed it just right
I dug all your grave the better part of last night.""

Then he stabbed her in her heart till her heart's blood did flow
He stabbed her in her heart till her heart's blood did flow
Down into the grave Pretty Polly did go
Now a debt to the devil, that Willy must pay
A debt to the devil, that Willy must pay
For killing Pretty Polly and running away."
91,"The Byrds","Wild Mountain Thyme","Oh, the summer time is coming
And the leaves are sweetly turning
And the wild mountain thyme 
Blooms across the purple heather 
Will you go, lassie, go

If you will not go with me
I will surely find another 
To pull wild mountain thyme 
All across the purple heather
Will you go, lassie, go

And we'll all go together 
To pull wild mountain thyme 
All across the purple heather
Will you go, lassie, go

And we'll all go together 
To pull wild mountain thyme 
All across the purple heather
Will you go, lassie, go"
92,"The Byrds","Time Between","Don't say you love me
Don't say you care
You're so far away
Telephone communication
Only a three minute elation
When I hear your voice

[Chorus]
Through love and trust it's gonna work out fine
The only pain I feel is al this time between
You and me, you and me

All the days have turned to years
Only emphasize my fears
Since you said goodbye
I can hear your voice at night
I can read the words you write
It's only love

[Chorus]

Now don't say you love me
Don't say you care
You're so far away
I can hear your voice at night
I can read the words you write
It's only love

[Chorus x2]"
93,"The Byrds","Farther Along","Farther along we'll know all about it
Farther along we'll understand why
Cheer up my brother, live in the sunshine
We'll understand it all by and by.

When we see Jesus coming in glory
When he comes from his home in the sky
Then we shall meet him in that bright mansion
We'll understand it all by and by.

Farther along we'll know all about it
Farther along we'll understand why
Cheer up my brother, live in the sunshine
We'll understand it all by and by
We'll understand it all by and by."
94,"The Byrds","I Wanna Grow Up To Be A Politician","I want to grow up to be a politician
And take over this beautiful land
I want to grow up to be a politician
And be the old U.S. of A.'s number one man

I'll always be tough but I'll never be scary
I want to shoot guns or butter my bread
I'll work in the towns or conservate the prairies
And you can believe the future's ahead

I'll give the young the right to vote as soon as they mature
But spare the rod and spoil the child to help them feel secure
And if I win election day I might give you a job
I'll sign a bill to help the poor to show I'm not a snob

I'll open my door I'm charging no admission
And you can be sure I'll give you my hand
I want to grow up to be a politician
And take over this beautiful land

I'll make you glad you got me in with everything I do
And I'll defend until the end the old red white and blue

I want to grow up to be a politician
And take over this beautiful land
And take over this beautiful land
And take over this beautiful land
"
95,"The Byrds","Life In Prison","The jury found the verdict first degree
They swore I planned her death to be
I prayed they'd sentence me to die
But they wanted me to live and I know why

So I'd do life in prison for the wrongs I've done
And I pray every night for death to come
My life will be a burden every day
If I could die, my pain might go away

With trembling hands I killed my darling wife
Because I loved her more than life
My love for her will last a long, long time
But I'd rather die than live to lose my mind

And I'll do life in prison for the wrongs I've done
And pray every night for death to come
If I could die, my pain might go away
If I could die, my pain might go away"
96,"The Byrds","What's Happening?!?!","I don't know who you think you are
I don't know what you're doing here

I don't know what's going on here
I don't know how it's supposed to be

I, I don't have the vaguest notion 
Whose it is or what it's all for

I don't know, I'm not cryin' 
Laughin' mostly as you can see"
97,"The Byrds","She Don't Care About Time","Hallways and staircases everyday to climb 
To go up to my white walled room out on the end of time
Where I can be with my love for she is all that is mine 
And she'll always be there, my love don't care about time 

I laugh with her, cry with her, hold her close she is mine
The way she tells me of her love and never is she trying 
She don't have to be assured of many good things to find 
And she'll always be there, my love don't care about time

Her eyes are dark and deep with love, her hair hangs long and fine 
She walks with ease and all she sees is never wrong or right 
And with her arms around me tight I see her all in my mind
And she'll always be there my love don't care about time"
98,"The Byrds","The Bells Of Rhymney","Oh, what will you give me?
Say the sad bells of Rhymney.
Is there hope for the future?
Say the brown bells of Merther.
Who made the mine open?
Say the black bells of Rhonda.
And who killed the miner?
Say the grim bells of Lina.

Who aband' us in court?
Say the bells of Newport.
All will be well if-if-if-if-if,
Say the green bells of Cardiff.
Why so worried, sister why?
Say the silver bells of Whye.
And what will you give me?
Say the sad bells of Rhymney.

Oh, what will you give me?
Say the sad bells of Rymney.
Is there hope for the future?
Say the brown bells of Merther. 
Who made the mine open?
Say the black bells of Rhonda.
And who killed the miner?
Say the grim bells of Lina."
99,"The Byrds","One Hundred Years From Now","One hundred years from this day
Will the people still feel this way
Still say the things that they're sayin' right now
Everyone said I hurt you,
They said that I desert you
If I go away,
You know I'm going to get back somehow
Nobody knows what kind of trouble there is
Nobody seems to think it all might happen again.

One hundred years from this time
Would anybody change their minds
And find out one thing or two about life
But people are always talking
You know they're always talking
Everybody's so wrong
That I know it's gonna work out fine
Nobody knows what kind of trouble there is
Nobody seems to think it all might happen again."
100,"The Byrds","Lazy Days","It's a lazy day, I'm down with nothing else to do
It's a crazy day, I've got a thing that I want to try with you
Now baby, don't go away
Please don't spoil my lazy day.

Now isn't it better? didn't you know?
Just sittin' down by the radio
I'm gonna make you worry none about the income tax
No, there's no need to hurry, I think I have to relax.

It's a lazy day, I'm down with nothing else to do
It's a crazy day, I've got a thing that I want to try with you
Now baby, don't go away
Please don't spoil my lazy day.

No, you don't have to think about nothing to do
'Cause when I get you down by the barbecue
Oh, I'm gonna make a real funny walk a-like a brand new dime
No, I don't have no money but I always got plenty of time.

It's a lazy day, I'm down with nothing else to do
It's a crazy day, I've got a thing that I want to try with you
Now baby, don't go away
Please don't spoil my lazy day.

It's a lazy day
It's a lazy day
It's a lazy day
It's a lazy day."
101,"The Byrds","Here Without You","Daytime just makes me be lonely
At night I can only dream about you
Girl you're on my mind
Nearly all of the time
It's so hard bein' here without you.

Words in my head keep repeating
Things that you said when I was with you
And I wonder is it true
Do you feel the same way too
It's so hard bein' here without you,
Bein' here without you.

Though I know it won't last I'll see you someday
It seems as though that day will come never
But there's one thing I'll swear
Though you're far away
I'll be thinking about you forever.

Streets that I walk on depress me
Ones that were happy when I was with you
Still with all the friends I know
And all the things I do
It's so hard bein' here without you,
Bein' here without you."
102,"The Byrds","Renaissance Fair","I think that maybe I'm dreaming

I smell cinnamon and spices
I hear music everywhere
All around kaleidoscope of color
I think that maybe I'm dreaming

Maids pass gracefully in laughter
Wine colored flowers in their hair
Last call from lands I've never been to
I think that maybe I'm dreaming

Sun's flash on a soda prism
Bright jewels on the ladies flashing
Eyes catch on a shiny prism

Hear ye the crying of the vendors
Fruit for sale wax candles for to burn
Fires flare soon it will be night fall
I think that maybe I'm dreaming

I think that maybe I'm dreaming
I think that maybe I'm dreaming"
103,"The Byrds","He Was A Friend Of Mine","He was a friend of mine
He was a friend of mine
His killing had no purpose
No reason, or rhyme
He was a friend of mine.

He was in Dallas town
He was in Dallas town
From a sixth floor window
A gunman shot him down
He died in Dallas town

He never knew my name
He never knew my name
Though I never met him
I knew him just the same
Oh, he was a friend of mine.

Leader of a nation for such a precious time
He was a friend of mine."
105,"The Byrds","Kathleen's Song","When I awake you will be gone
Shady tomorrow
I want to go where will you be
So I'll stay home letting my hair grow long
And I will be waiting for you
While fire burns summer is gone
Winter is sorrow
And time don't mean nothing to me
When only the owls (?) listen to hear my songs
And I will be walking in dew
And I will be waiting for you
Some people say love goes away 
Not mine
A rose is left for your cheeks
I will borrow
And find a place for you to see
A sash of blue tells me your love is strong
Each spring my life, starting anew
And I will be waiting for you"
106,"The Byrds","Don't Doubt Yourself Babe","Don't doubt yourself, babe
Let your feet stand up for your beliefs, babe
I know what's running through your mind
You think you ought to capture time
Make love walk the straight
And narrow, oh,oh
Don't doubt yourself gal
Let what's inside be your guide, you know darn well
For all the wrongs been done to you
Is makin' you prettier so don't be blue
The life you've lived and what you've been through
You're lucky, oh,oh
Don't doubt yourself when
Daylight fades and darkness begins
It's only come to show you that
You're the one who knows where it's at
The rest who think they've got it pat
Know nothing, oh,oh
Don't doubt yourself 'cause
At the end of your words no one applauds
The truth is proven to be found
Harder to take the first time around
So don't you worry, it's gonna
Be all right, oh,oh
"
107,"The Byrds","Set You Free This Time","The first thing that I heard you say
When you were standing there sad in your way
Was that you were not blind
You were sure to make a fool of me
Cause there was nothing there was that you could see
That could go beyond your mind.
Now who's standing at the door
Remembering the days before
And asking please be kind
It isn't how it was set up to be
But I set you free this time
I have never been so far out in front
That I could never ask for what I want
And have it anytime

Knowing this you found the thought for me
That told you just what I should be
And there I stood behind.
With all the ones that were before
And memories that always seem to tear me from my mind
In front of what it is you see me to be
And I've set you free this time.

I could never find a chance to choose
Between a way to to wear or a thing to loose
Because there was your stand
On top of all the love you took
That was always something you could look at
Lying in your hand
Now who's wondering what has changed
And why it cannot be arranged to have each thing work fine
It isn't how it was set up to be
But I've set you free this time."
108,"The Byrds","Triad","You want to know how it will be
Me and her, or you and me
You both stand there, your long hair flowing
Your eyes alive, your mind still growing

Saying to me what can we do now that we both love you
I love you too
And I don't really see
Why can't we go on as three

You are afraid, embarrassed too
No one has ever said such a thing to you
Your mother's ghost stands at your shoulders
A face like ice, a little bit colder

Saying to you, you cannot do that
It breaks all the rules, you learned in school
But I don't really see
Why can't we go on as three

We love each other, it's plain to see
There's just one answer that comes to be
Sister lovers, water brothers, and in time maybe others
So you see what we can do is to try something new

If you're crazy too
And I don't really see 
Why can't we go on as three"
109,"The Byrds","This Wheel's On Fire","If your memory serves you well
We were going to meet again and wait
So I'm going to unpack all my things
And sit before it gets too late
No man alive will comfort you
With another tale to tell
You know that we shall meet again
If your memory serves you well
Wheel's on fire, rolling down the road
Best notify my next of kin this wheel shall explode
If your memory serves you well
I was going to confiscate your lace
And wrap it up in a sailor's knot
And hide it in your case
If I knew for sure that it was yours
But it was oh so hard to tell
You know that we shall meet again
If your memory serves you well
Wheel's on fire, rolling down the road
Best notify my next of kin this wheel shall explode
If your memory serves you well
Then you'll remember you're the one
You called on them to call on him
To get you your favors done
But after every plan had failed
There was nothing more to tell
You know that we shall meet again
If your memory serves you well
Wheel's on fire, rolling down the road
Best notify my next of kin this wheel shall explode
"
110,"The Byrds","Mr. Spaceman","Woke up this morning with light in my eyes
And then realized it was still dark outside
It was a light coming down from the sky
I don't know who or why
Must be those strangers that come every night
Those saucer shaped lights put people uptight
Leave blue green footprints that glow in the dark
I hope they get home alright
Hey, Mr. Spaceman
Won't you please take me along
I won't do anything wrong
Hey, Mr. Spaceman
Won't you please take me along for a ride
Woke up this morning, I was feeling quite weird
Had flies in my beard, my toothpaste was smeared
Over my window, they'd written my name
Said, ""So long, we'll see you again""
Hey, Mr. Spaceman
Won't you please take me along
